Unnamed: 0,caracteres_nombre,foto_perfil,num_amigos,dias_mas_Publicaciones,paginas_que_sigue,Clase
0,corto,Sí,medio,fin de semana,pocas,T
1,medio,Sí,medio,fin de semana,pocas,T
2,medio,Sí,medio,fin de semana,pocas,T
3,corto,Sí,medio,fin de semana,pocas,T
4,corto,Sí,medio,media semana,pocas,T
5,largo,Sí,alto,fin de semana,pocas,T
6,medio,Sí,medio,fin de semana,pocas,T
7,medio,Sí,medio,fin de semana,pocas,T
8,medio,Sí,medio,fin de semana,pocas,T
9,medio,Sí,alto,fin de semana,pocas,T
10,largo,Sí,alto,fin de semana,pocas,T
11,medio,Sí,alto,media semana,pocas,T
12,medio,Sí,medio,fin de semana,pocas,T
13,largo,Sí,bajo,ninguno,pocas,T
14,medio,Sí,alto,ninguno,algunas,T
15,medio,Sí,medio,ninguno,pocas,T
16,corto,No,bajo,ninguno,algunas,T
17,medio,Sí,medio,ninguno,pocas,T
18,corto,Sí,bajo,ninguno,pocas,T
19,medio,Sí,alto,ninguno,pocas,T
20,medio,Sí,medio,fin de semana,pocas,T
21,corto,Sí,medio,ninguno,algunas,T
22,largo,Sí,medio,ninguno,pocas,T
23,medio,Sí,medio,ninguno,algunas,T
24,medio,Sí,alto,ninguno,algunas,T
25,medio,Sí,medio,inicio de semana,pocas,T
26,medio,Sí,medio,ninguno,pocas,T
27,largo,Sí,medio,ninguno,algunas,T
28,medio,Sí,medio,fin de semana,pocas,T
29,medio,Sí,medio,fin de semana,algunas,T
30,medio,Sí,medio,media semana,pocas,T
31,medio,Sí,alto,fin de semana,pocas,T
32,corto,Sí,medio,fin de semana,pocas,T
33,medio,Sí,medio,ninguno,pocas,T
34,largo,Sí,medio,ninguno,algunas,T
35,medio,Sí,medio,ninguno,pocas,T
36,corto,Sí,alto,media semana,algunas,T
37,medio,Sí,medio,media semana,algunas,T
38,medio,Sí,medio,media semana,pocas,T
39,medio,Sí,medio,ninguno,pocas,T
40,largo,Sí,bajo,ninguno,pocas,T
41,medio,Sí,medio,ninguno,pocas,T
42,medio,Sí,medio,media semana,pocas,T
43,medio,Sí,alto,fin de semana,pocas,T
44,medio,Sí,alto,ninguno,pocas,T
45,medio,Sí,medio,ninguno,algunas,T
46,medio,Sí,alto,media semana,pocas,T
47,medio,Sí,medio,ninguno,pocas,T
48,medio,Sí,bajo,fin de semana,pocas,T
49,corto,Sí,medio,ninguno,pocas,T
50,medio,Sí,medio,fin de semana,pocas,T
51,medio,Sí,medio,ninguno,pocas,T
52,largo,Sí,alto,media semana,pocas,T
53,medio,Sí,alto,fin de semana,pocas,T
54,medio,Sí,medio,inicio de semana,algunas,T
55,medio,Sí,medio,ninguno,algunas,T
56,medio,Sí,medio,fin de semana,algunas,T
57,medio,Sí,medio,ninguno,pocas,T
58,largo,Sí,medio,ninguno,pocas,F
59,medio,Sí,alto,inicio de semana,algunas,F
60,medio,Sí,bajo,ninguno,pocas,F
61,largo,Sí,bajo,ninguno,pocas,F
62,medio,Sí,medio,media semana,algunas,F
63,medio,Sí,bajo,ninguno,pocas,F
64,largo,Sí,medio,fin de semana,pocas,F
65,largo,Sí,bajo,media semana,pocas,F
66,medio,Sí,medio,fin de semana,pocas,F
67,medio,Sí,medio,ninguno,pocas,T
68,medio,Sí,medio,fin de semana,algunas,T
69,medio,Sí,alto,fin de semana,pocas,T
70,largo,Sí,medio,media semana,algunas,T
71,largo,Sí,alto,fin de semana,algunas,T
72,corto,Sí,medio,ninguno,algunas,T
73,corto,Sí,medio,fin de semana,pocas,T
74,largo,Sí,alto,fin de semana,algunas,T
75,medio,Sí,alto,inicio de semana,algunas,T
76,medio,Sí,medio,ninguno,algunas,T
77,medio,No,alto,ninguno,algunas,T
78,medio,Sí,alto,fin de semana,pocas,T
79,medio,Sí,alto,fin de semana,algunas,T
80,medio,Sí,bajo,fin de semana,pocas,T
81,medio,Sí,medio,fin de semana,algunas,T
82,medio,Sí,medio,ninguno,algunas,F
83,medio,Sí,medio,ninguno,pocas,F
84,medio,Sí,medio,media semana,pocas,F
85,medio,Sí,medio,media semana,algunas,T
86,medio,Sí,alto,inicio de semana,algunas,T
87,largo,Sí,alto,media semana,algunas,T
88,largo,Sí,alto,media semana,algunas,T
89,medio,Sí,alto,inicio de semana,algunas,T
90,medio,SÍ,medio,media semana,algunas,T
91,largo,Sí,medio,fin de semana,pocas,T
92,medio,Sí,medio,inicio de semana,pocas,T
93,medio,Sí,medio,inicio de semana,algunas,T
94,medio,Sí,bajo,inicio de semana,pocas,T
95,medio,Sí,alto,inicio de semana,pocas,T
96,medio,Sí,medio,inicio de semana,pocas,T
97,medio,Sí,alto,inicio de semana,pocas,T
98,medio,Sí,alto,inicio de semana,algunas,T
99,medio,Sí,medio,ninguno,algunas,F
100,medio,Sí,medio,ninguno,pocas,F
101,medio,No,bajo,ninguno,pocas,F
102,medio,Sí,medio,media semana,pocas,F
103,medio,Sí,bajo,ninguno,pocas,F
104,medio,Sí,bajo,ninguno,pocas,F
105,medio,Sí,alto,inicio de semana,algunas,F
106,medio,Sí,alto,fin de semana,algunas,F
107,medio,Sí,medio,media semana,pocas,F
108,medio,Sí,bajo,ninguno,pocas,T
109,medio,Sí,medio,ninguno,pocas,T
110,medio,Sí,medio,media semana,pocas,F
111,medio,Sí,medio,fin de semana,algunas,T
112,corto,Sí,medio,ninguno,pocas,T
113,medio,Sí,alto,inicio de semana,algunas,T
114,corto,Sí,alto,fin de semana,algunas,F
115,medio,Sí,medio,ninguno,algunas,T
116,medio,Sí,medio,ninguno,algunas,T
117,medio,Sí,alto,fin de semana,algunas,T
118,medio,Sí,alto,ninguno,algunas,T
119,medio,No,medio,ninguno,algunas,T
120,corto,Sí,alto,ninguno,algunas,T
121,medio,Sí,medio,fin de semana,algunas,T
122,medio,Sí,medio,fin de semana,pocas,T
123,corto,Sí,medio,media semana,algunas,T
124,medio,Sí,alto,fin de semana,algunas,T
125,medio,Sí,alto,media semana,algunas,T
126,corto,Sí,medio,inicio de semana,algunas,T
127,medio,Sí,alto,fin de semana,algunas,T
128,medio,Sí,medio,ninguno,algunas,T
129,medio,Sí,alto,fin de semana,algunas,T
130,medio,Sí,medio,fin de semana,algunas,T
131,corto,Sí,alto,media semana,algunas,T
132,medio,Sí,medio,ninguno,algunas,T
133,largo,No,medio,ninguno,pocas,T
134,medio,Sí,medio,ninguno,algunas,T
135,medio,Sí,alto,media semana,algunas,T
136,medio,Sí,alto,media semana,algunas,T
137,medio,Sí,alto,media semana,algunas,T
138,corto,Sí,alto,fin de semana,algunas,T
139,medio,No,bajo,ninguno,pocas,F
140,medio,Sí,medio,fin de semana,pocas,F
141,medio,No,alto,fin de semana,algunas,F
