Unnamed: 0,nombre,cantidad_caracteres_nombre,tiene_foto_perfil,cantidad_seguidores,cantidad_seguidos,promedio_publicaciones,perfil_privado,dia_mas_publica,comenta_publicaciones,clase
0,Catalin31937081,largo,Sí,bajo,bajo,bajo,No,Fin de semana,Sí,Fake
1,JadeCrespo8,medio,Sí,bajo,medio,bajo,No,Inicio de semana,Sí,Fake
2,V12Ara,corto,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
3,BriannaLun_,medio,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
4,IsoldaMancillas,largo,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
5,bp252475057g,medio,No,bajo,bajo,bajo,No,,No,Fake
6,JavierE16716229,largo,No,bajo,medio,bajo,No,,No,Fake
7,BetsabeAguirre_,largo,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
8,x_h4a8qbmai,medio,Sí,medio,alto,bajo,No,,Sí,Fake
9,MarthaPablo8,medio,Sí,bajo,bajo,bajo,No,Media semana,Sí,Fake
10,AdejPeer,corto,Sí,bajo,bajo,bajo,No,Media semana,Sí,Fake
11,PlaciddoG__,medio,Sí,bajo,bajo,bajo,No,Media semana,Sí,Fake
12,Flooky124,medio,Sí,,bajo,bajo,No,Inicio de semana,Sí,Fake
13,Ka25402540,medio,No,bajo,bajo,bajo,No,Media semana,Sí,Fake
14,Pastor10Denise,largo,Sí,bajo,medio,bajo,No,Inicio de semana,Sí,Fake
15,Camila76800538,largo,Sí,bajo,bajo,bajo,No,Fin de semana,Sí,Fake
16,AngelesFra_,medio,Sí,bajo,bajo,bajo,No,,Sí,Fake
17,TNrCC4VoQpOGSWy,largo,Sí,bajo,medio,bajo,Sí,,Sí,Fake
18,pim120430198853,largo,Sí,bajo,bajo,bajo,No,Media semana,Sí,Fake
19,anahibravoab,medio,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
20,CondeJannet,medio,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
21,OsccarC__,medio,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
22,LuzDelgadilloC1,largo,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
23,JuniorM77528556,largo,Sí,medio,alto,medio,No,Fin de semana,Sí,Fake
24,SandyMedna_,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Fake
25,Koy793402712469,largo,Sí,bajo,bajo,bajo,No,Media semana,Sí,Fake
26,LorenaMart__,medio,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
27,HugoDom_,corto,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
28,OlgaGuadarrama7,largo,Sí,bajo,bajo,bajo,No,Fin de semana,Sí,Fake
29,MarielaTenorioG,largo,Sí,medio,medio,bajo,No,Media semana,Sí,Fake
30,CataOsorio02,medio,Sí,bajo,bajo,medio,No,Media semana,Sí,Fake
31,raquell_marin,medio,Sí,bajo,bajo,bajo,No,Fin de semana,Sí,Fake
32,PaolaRiv_as,medio,Sí,bajo,medio,bajo,No,Inicio de semana,Sí,Fake
33,RitaZar_,corto,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Fake
34,CTheaa54152,medio,Sí,bajo,medio,bajo,No,,Sí,Fake
35,wuthiwthnsceri1,largo,Sí,medio,medio,bajo,No,Media semana,Sí,Fake
36,mariana81588744,largo,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
37,AnaBelenDeJesu3,largo,Sí,bajo,bajo,bajo,No,Media semana,Sí,Fake
38,Letigon69,medio,Sí,bajo,bajo,bajo,No,Media semana,Sí,Fake
39,DaroLupita,medio,Sí,bajo,bajo,bajo,No,Media semana,Sí,Fake
40,RoxanaC__,medio,Sí,bajo,bajo,bajo,No,Fin de semana,Sí,Fake
41,RebecaG__,medio,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Fake
42,ComSom978193451,largo,Sí,bajo,medio,medio,No,Inicio de semana,Sí,Fake
43,GunGuntak,medio,Sí,bajo,alto,bajo,No,Fin de semana,Sí,Fake
44,MarioCal_deron_,largo,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
45,MagaliGarcia137,largo,Sí,bajo,bajo,bajo,No,Fin de semana,Sí,Fake
46,Liliana_Orte_,medio,Sí,bajo,bajo,bajo,No,Media semana,Sí,Fake
47,AnaLuCamach,medio,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Fake
48,nickawayg2531,medio,Sí,bajo,bajo,medio,No,Media semana,Sí,Fake
49,SilvinaMora10,medio,Sí,bajo,medio,bajo,No,Media semana,Sí,Fake
50,SHerendia,medio,Sí,medio,alto,bajo,No,Fin de semana,Sí,Fake
51,dackcake,corto,Sí,bajo,bajo,bajo,No,Media semana,Sí,Fake
52,mngkhl_dxk48275,largo,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
53,Agustin47527800,largo,No,bajo,medio,bajo,No,Inicio de semana,Sí,Fake
54,ErickOs__,medio,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
55,Lourdes05675148,largo,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
56,Ricardo35210361,largo,Sí,bajo,bajo,bajo,No,Media semana,Sí,Fake
57,Ochoa98208Ochoa,largo,Sí,bajo,bajo,bajo,No,,Sí,Fake
58,Violeta36310431,largo,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Fake
59,YazminTlapa15,medio,Sí,bajo,bajo,bajo,No,Fin de semana,Sí,Fake
60,KarenCa21787865,largo,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
61,OfeliaGlvez,medio,Sí,alto,alto,bajo,No,Media semana,Sí,Fake
62,rociosilvagon1,largo,Sí,medio,medio,medio,No,Inicio de semana,Sí,Fake
63,Roosa_io__,medio,Sí,bajo,bajo,bajo,No,Fin de semana,Sí,Fake
64,bp252445922,medio,Sí,bajo,bajo,bajo,No,Fin de semana,Sí,Fake
65,rakenena1,medio,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
66,HigaredaLulu,medio,Sí,alto,alto,medio,No,Media semana,Sí,Fake
67,YesicaVillarea_,largo,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
68,JoelMen__,medio,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
69,PERLAZAIRA,medio,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Fake
70,HortenciaSala_,largo,Sí,bajo,bajo,bajo,No,Inicio de semana,Sí,Fake
71,AdriancConde,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Fake
72,cFQD6xVuOIDx0IE,largo,Sí,bajo,bajo,bajo,No,Media semana,Sí,Fake
73,marcelam2209,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
74,rzapatistadf,medio,Sí,alto,bajo,bajo,No,Inicio de semana,Sí,Real
75,Karmensan12,medio,Sí,alto,medio,bajo,No,Media semana,Sí,Real
76,RaulOrvananos,medio,Sí,,medio,medio,No,Media semana,Sí,Real
77,rafapuente_espn,largo,Sí,,bajo,bajo,No,Inicio de semana,Sí,Real
78,Santyabad7,medio,Sí,bajo,medio,bajo,No,Fin de semana,Sí,Real
79,ritacoral22,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
80,nataliaruiizv,medio,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Real
81,puig_ricardo,medio,Sí,,medio,bajo,No,Inicio de semana,Sí,Real
82,samespinosao,medio,Sí,,medio,bajo,No,Media semana,Sí,Real
83,msiendomeri,medio,Sí,medio,medio,bajo,No,,Sí,Real
84,MissRavenPliss,largo,Sí,alto,alto,medio,No,Inicio de semana,Sí,Real
85,A_EsparzaOteo,medio,Sí,,medio,bajo,No,Media semana,Sí,Real
86,antizkt,corto,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Real
87,YoseeGJ,corto,Sí,medio,medio,bajo,No,Media semana,Sí,Real
88,CD_Cedoz,corto,Sí,alto,medio,bajo,No,,Sí,Real
89,alfredodelmazo,largo,Sí,,medio,bajo,No,Fin de semana,Sí,Real
90,erik_lira,medio,Sí,,bajo,bajo,No,,Sí,Real
91,karlaadoor,medio,Sí,medio,medio,bajo,No,,Sí,Real
92,Ruthv___,corto,Sí,bajo,bajo,bajo,Sí,Fin de semana,Sí,Real
93,TitoVilla1982,medio,Sí,,medio,bajo,No,,Sí,Real
94,cordova_sports,largo,Sí,,alto,medio,No,Fin de semana,Sí,Real
95,msiendomeri,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
96,Bere_niceray,medio,Sí,,medio,bajo,No,Media semana,Sí,Real
97,rafapuente_espn,largo,Sí,,bajo,bajo,No,,Sí,Real
98,koyel10,corto,Sí,,alto,medio,No,,Sí,Real
99,Jennifeermz,medio,Sí,bajo,bajo,bajo,No,Media semana,Sí,Real
100,daemoon_targary,largo,Sí,alto,alto,alto,No,Media semana,Sí,Real
101,la_reinota_,medio,Sí,,medio,bajo,No,Media semana,Sí,Real
102,pametorres1998,largo,Sí,medio,medio,bajo,No,Media semana,Sí,Real
103,AG_26,corto,Sí,,medio,bajo,No,,Sí,Real
104,ulisesurrutiac,largo,Sí,medio,alto,bajo,No,Fin de semana,Sí,Real
105,Caminoalandar2,largo,Sí,alto,medio,bajo,No,Media semana,Sí,Real
106,yarelinceballos,largo,Sí,bajo,bajo,bajo,No,Fin de semana,Sí,Real
107,Anibaljrlv00,medio,Sí,bajo,medio,bajo,No,Media semana,Sí,Real
108,duvikah,corto,Sí,alto,alto,medio,No,Media semana,Sí,Real
109,cordova_sports,largo,Sí,,alto,medio,No,,Sí,Real
110,msiendomeri,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
111,Anghm_20,corto,Sí,bajo,medio,bajo,No,Media semana,Sí,Real
112,_pinchechicharo,largo,Sí,,medio,alto,No,Inicio de semana,Sí,Real
113,puig_ricardo,medio,Sí,,medio,bajo,No,,Sí,Real
114,daemoon_targary,largo,Sí,alto,alto,alto,No,,Sí,Real
115,kainatodes,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
116,Mariaaaaan_cs,medio,Sí,bajo,bajo,bajo,No,,Sí,Real
117,emilol880,medio,Sí,bajo,bajo,bajo,No,Media semana,Sí,Real
118,Alejand04527411,largo,Sí,bajo,bajo,bajo,Sí,,Sí,Real
119,alexita_ret,medio,Sí,medio,bajo,bajo,No,Media semana,Sí,Real
120,echemariana,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
121,Littt_so,corto,Sí,bajo,bajo,bajo,Sí,,Sí,Real
122,CD_Cedoz,corto,Sí,alto,medio,bajo,No,Inicio de semana,Sí,Real
123,AndreGiovanniB,largo,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Real
124,jonatansinh21,medio,Sí,alto,medio,medio,No,Media semana,Sí,Real
125,_pinchechicharo,largo,Sí,,medio,alto,No,,Sí,Real
126,MarianSsanchez_,largo,Sí,bajo,medio,bajo,No,,Sí,Real
127,alonsoocruzz,medio,Sí,bajo,medio,bajo,No,,Sí,Real
128,Jhov_rb,corto,Sí,medio,medio,bajo,Sí,Fin de semana,Sí,Real
129,JesusBorroel,medio,Sí,medio,medio,bajo,No,Fin de semana,Sí,Real
130,Armand_Mel91,medio,Sí,,medio,bajo,No,,Sí,Real
131,Alonso_osoo,medio,Sí,bajo,medio,bajo,No,Fin de semana,Sí,Real
132,JAntonioDomingz,largo,Sí,,alto,bajo,No,Fin de semana,Sí,Real
133,MissRavenPliss,largo,Sí,alto,alto,medio,No,Inicio de semana,Sí,Real
134,Anghm_20,corto,Sí,bajo,medio,bajo,No,,Sí,Real
135,JNT3D,corto,Sí,,medio,medio,No,Media semana,Sí,Real
136,sofiaaa_diazzz,largo,Sí,alto,medio,bajo,No,Fin de semana,Sí,Real
137,karlaadoor,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
138,san1dhya,corto,Sí,bajo,medio,bajo,No,Media semana,Sí,Real
139,Gaurang2801,medio,Sí,bajo,medio,bajo,No,Inicio de semana,Sí,Real
140,VishalDayama,medio,Sí,,medio,bajo,No,Inicio de semana,Sí,Real
141,hubermanlab,medio,Sí,,alto,bajo,No,Fin de semana,Sí,Real
142,SamRuiZam,medio,Sí,medio,medio,bajo,No,Fin de semana,Sí,Real
143,viricolcua,medio,Sí,medio,medio,bajo,No,Fin de semana,Sí,Real
144,MaluCM18,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
145,artindetails,medio,Sí,,bajo,bajo,No,Inicio de semana,Sí,Fake
146,MemoRT22,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
147,valeriagoolz,medio,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Real
148,danssrl,corto,Sí,medio,medio,bajo,No,Media semana,Sí,Real
149,sonivasc,medio,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Real
150,HelenRiveraJ,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
151,whichximena,medio,Sí,medio,medio,bajo,No,Fin de semana,Sí,Real
152,DReptil666,medio,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Real
153,OrlandoRevil,medio,Sí,alto,medio,bajo,No,Media semana,Sí,Real
154,LuisLeon_99,medio,Sí,medio,medio,bajo,No,Fin de semana,Sí,Real
155,JonaAguilar_10,largo,Sí,medio,medio,bajo,No,Fin de semana,Sí,Real
156,paulaarandaa_,largo,Sí,medio,medio,bajo,No,Media semana,Sí,Real
157,Blossomm222,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
158,RocioDelCallejo,largo,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Real
159,graceconnectus,largo,Sí,alto,alto,bajo,No,Media semana,No,Fake
160,parrythehoot,medio,Sí,medio,medio,medio,No,Fin de semana,No,Fake
161,cecigr136,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
162,beristain_leo,largo,Sí,bajo,bajo,bajo,No,Media semana,Sí,Real
163,Karimartz1,medio,Sí,medio,medio,bajo,No,Fin de semana,Sí,Real
164,itzeldbarranco,largo,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Real
165,eirapf,corto,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Real
166,laura_prz_19,medio,Sí,medio,medio,bajo,No,Fin de semana,Sí,Real
167,fridacl_,medio,Sí,medio,medio,bajo,No,Fin de semana,Sí,Real
168,HerlopSamantha,largo,Sí,medio,bajo,bajo,No,Fin de semana,Sí,Real
169,poobrediabla,medio,Sí,medio,medio,bajo,No,Media semana,Sí,Real
170,DianGA0502,medio,Sí,bajo,medio,bajo,No,Inicio de semana,Sí,Real
171,hyvsvp,corto,Sí,medio,medio,bajo,No,Inicio de semana,Sí,Real
172,imfdov,corto,Sí,,bajo,bajo,No,Media semana,Sí,Real
173,nxstypxet,medio,Sí,,bajo,medio,No,Media semana,Sí,Real
174,jhohanabraham,largo,Sí,medio,medio,bajo,No,Fin de semana,Sí,Real
175,DiegoRRuvalcaba,largo,Sí,bajo,bajo,bajo,No,Media semana,Sí,Real
