,clase,veil-color,ring-type,population,habitat
0,e,w,p,n,g
1,e,w,p,n,m
2,p,w,p,s,u
3,e,w,e,a,g
4,e,w,p,n,g
5,e,w,p,n,m
6,e,w,p,s,m
7,p,w,p,v,g
8,e,w,p,s,m
9,e,w,p,n,g
10,e,w,p,s,m
11,e,w,p,s,g
12,p,w,p,v,u
13,e,w,e,a,g
14,e,w,p,y,u
15,e,w,e,a,g
16,p,w,p,s,g
17,p,w,p,s,u
18,p,w,p,s,u
19,e,w,p,s,m
20,p,w,p,v,g
21,e,w,p,s,m
22,e,w,p,n,m
23,e,w,p,s,m
24,p,w,p,v,g
25,e,w,p,n,m
26,e,w,p,n,m
27,e,w,p,y,u
28,e,w,p,v,d
29,e,w,p,n,m
30,p,w,p,s,u
31,e,w,p,n,m
32,e,w,p,y,p
33,e,w,p,s,m
34,e,w,p,v,d
35,e,w,p,v,u
36,p,w,p,s,u
37,e,w,p,v,d
38,e,w,p,s,m
39,e,w,p,s,g
40,e,w,p,y,p
41,e,w,p,y,u
42,p,w,p,v,g
43,e,w,p,n,m
44,e,w,p,n,g
45,e,w,p,s,m
46,e,w,p,n,m
47,e,w,p,s,p
48,e,w,p,s,p
49,e,w,p,s,g
50,e,w,p,s,g
51,e,w,p,n,m
52,p,w,p,v,u
53,p,w,p,v,u
54,e,w,p,s,m
55,e,w,e,a,g
56,e,w,p,n,g
57,e,w,p,n,g
58,e,w,p,y,p
59,e,w,p,v,u
60,e,w,p,s,m
61,e,w,p,s,m
62,e,w,p,n,m
63,e,w,p,s,g
64,e,w,e,a,g
65,e,w,p,s,g
66,e,w,p,s,g
67,e,w,p,n,g
68,e,w,p,v,u
69,e,w,p,v,d
70,e,w,p,s,m
71,e,w,p,v,d
72,e,w,p,s,p
73,e,w,p,s,g
74,e,w,p,v,d
75,e,w,p,v,d
76,e,w,p,y,p
77,p,w,p,v,u
78,e,w,p,y,g
79,e,w,e,s,g
80,p,w,p,s,g
81,e,w,p,y,u
82,e,w,e,s,g
83,e,w,p,s,g
84,e,w,e,s,g
85,e,w,p,s,g
86,e,w,p,s,g
87,e,w,p,y,g
88,e,w,p,v,u
89,e,w,p,y,u
90,e,w,p,s,g
91,e,w,p,s,g
92,e,w,p,n,m
93,e,w,e,a,g
94,e,w,p,s,g
95,e,w,p,s,g
96,e,w,p,n,g
97,e,w,p,s,g
98,e,w,p,s,g
99,e,w,e,s,g
100,e,w,p,n,g
101,e,w,p,s,g
102,e,w,p,y,p
103,e,w,p,n,g
104,e,w,p,n,m
105,e,w,p,y,g
106,e,w,p,s,m
107,e,w,p,s,m
108,e,w,p,n,m
109,e,w,p,n,g
110,e,w,p,y,u
111,e,w,p,v,d
112,e,w,p,n,m
113,p,w,p,v,u
114,e,w,p,s,g
115,e,w,p,y,u
116,e,w,p,y,g
117,e,w,p,v,d
118,e,w,p,y,u
119,p,w,p,v,g
120,e,w,p,n,m
121,p,w,p,v,g
122,e,w,e,a,g
123,e,w,p,s,m
124,e,w,e,s,g
125,e,w,p,n,g
126,e,w,e,a,g
127,e,w,p,n,g
128,e,w,p,s,m
129,e,w,p,s,g
130,e,w,p,s,m
131,e,w,p,v,d
132,e,w,p,s,m
133,e,w,p,v,d
134,p,w,p,v,u
135,e,w,p,v,d
136,e,w,p,s,g
137,p,w,p,v,g
138,e,w,p,n,g
139,e,w,p,y,p
140,e,w,p,n,m
141,e,w,p,v,u
142,e,w,p,y,p
143,e,w,p,n,g
144,e,w,e,s,g
145,e,w,e,a,g
146,e,w,p,n,m
147,e,w,p,n,g
148,e,w,p,n,m
149,e,w,p,s,g
150,e,w,e,a,g
151,e,w,p,s,g
152,e,w,p,v,u
153,e,w,p,v,d
154,e,w,p,s,g
155,e,w,p,n,g
156,e,w,p,n,g
157,e,w,p,s,m
158,e,w,p,s,g
159,e,w,p,s,m
160,e,w,p,n,g
161,e,w,p,y,u
162,e,w,p,y,g
163,e,w,p,s,g
164,e,w,p,y,p
165,e,w,p,s,g
166,e,w,p,s,m
167,e,w,p,y,g
168,e,w,p,s,g
169,e,w,p,y,u
170,e,w,p,s,g
171,e,w,p,v,d
172,e,w,p,s,g
173,e,w,p,s,g
174,e,w,p,n,m
175,e,w,p,n,m
176,e,w,p,s,g
177,e,w,p,n,m
178,e,w,p,n,g
179,p,w,p,v,u
180,e,w,p,y,u
181,e,w,p,v,u
182,e,w,p,s,m
183,e,w,p,s,p
184,p,w,p,s,g
185,e,w,p,s,m
186,e,w,p,v,u
187,e,w,p,n,g
188,e,w,p,y,p
189,e,w,e,s,g
190,e,w,p,v,d
191,e,w,p,s,m
192,e,w,p,v,d
193,e,w,p,n,m
194,e,w,p,y,u
195,e,w,p,s,g
196,e,w,p,n,m
197,e,w,p,s,m
198,e,w,p,v,d
199,e,w,p,s,g
200,e,w,p,s,g
201,e,w,p,n,g
202,e,w,e,s,g
203,e,w,p,y,p
204,p,w,p,v,u
205,e,w,p,n,g
206,e,w,p,s,m
207,e,w,p,n,g
208,e,w,p,n,g
209,e,w,p,s,g
210,e,w,p,n,m
211,e,w,p,v,d
212,e,w,p,y,u
